ID,Count.StartTime,Count.UnitTypeID,Count.Booked Weight,Count.VGM Weight,Corrected Weight,Variance
14338893,44931,SWAP45,44500,8,8000,36500
14354019,44938,SWAP45,15500,,15500,0
14354019,44938,SWAP45,15500,10,10000,5500
14367927,44944,SWAP45,15500,8,8000,7500
14385117,44951,SWAP45,34500,23,23000,11500
14399258,44957,SWAP45,15500,14,14000,1500
14413136,44963,SWAP45,40000,37,37000,3000
14425855,44967,SWAP45,11000,9,9000,2000
14442409,44973,SWAP45,11000,8,8000,3000
14455164,44978,SWAP45,15500,9,9000,6500
14471753,44985,SWAP45,30000,9,9000,21000
14490274,44992,SWAP45,4500,,4500,0
14490274,44992,SWAP45,4500,9,9000,-4500
14501246,44995,SWAP45,11000,,11000,0
14501246,44995,SWAP45,11000,8,8000,3000
14517032,45001,SWAP45,20000,35,35000,-15000
14533415,45008,SWAP45,12500,,12500,0
14533415,45008,SWAP45,12500,10,10000,2500
14533420,45008,SWAP45,12500,20,20000,-7500
14533420,45008,SWAP45,12500,,12500,0
14517034,45001,SWAP45,30000,26,26000,4000
14501258,44995,SWAP45,11000,20,20000,-9000
14492208,44992,SWAP45,20000,20,20000,0
14474628,44986,SWAP45,10000,8,8000,2000
14459949,44980,SWAP45,40000,35,35000,5000
14459949,44980,SWAP45,40000,,40000,0
14435374,44971,SWAP45,11000,10,10000,1000
14419016,44965,SWAP45,30000,25,25000,5000
14401893,44958,SWAP45,34500,24,24000,10500
14385119,44951,SWAP45,15500,9,9000,6500
14333052,44929,SWAP45,24500,21,21000,3500
14347137,44936,SWAP45,15500,9,9000,6500
14338896,44931,SWAP45,34500,25,25000,9500
14367928,44944,SWAP45,15500,9,9000,6500
14354642,44938,SWAP45,15500,9,9000,6500
14422164,44966,SWAP45,25000,40,40000,-15000
14409288,44960,SWAP45,11000,9,9000,2000
14439186,44972,SWAP45,40000,40,40000,0
14455320,44978,SWAP45,36000,40,40000,-4000
14468615,44984,SWAP45,20000,18,18000,2000
14496455,44994,SWAP45,20000,18,18000,2000
14496455,44994,SWAP45,20000,,20000,0
14481563,44988,SWAP45,11000,9,9000,2000
14511827,44999,SWAP45,31500,9,9000,22500
14511827,44999,SWAP45,31500,,31500,0
14530985,45007,SWAP45,40000,,40000,0
14530985,45007,SWAP45,40000,,40000,0
14534609,45008,SWAP45,33500,40,40000,-6500
14534609,45008,SWAP45,33500,,33500,0
14509250,44999,SWAP45,4500,,4500,0
14509250,44999,SWAP45,4500,9,9000,-4500
14509250,44999,SWAP45,4500,,4500,0
14524282,45005,SWAP45,40000,25,25000,15000
14524282,45005,SWAP45,40000,,40000,0
14481529,44988,SWAP45,11000,9,9000,2000
14493294,44993,SWAP45,4500,5,5000,-500
14468616,44984,SWAP45,20000,18,18000,2000
14436065,44971,SWAP45,40000,39,39000,1000
14450618,44977,SWAP45,30000,26,26000,4000
14419704,44965,SWAP45,40000,34,34000,6000
14404576,44959,SWAP45,6500,9,9000,-2500
14380319,44949,SWAP45,24500,16,16000,8500
14391618,44953,SWAP45,15500,8,8000,7500
14364023,44943,SWAP45,39500,39,39000,500
14344535,44935,SWAP45,15500,8,8000,7500
14329854,44928,SWAP45,34500,32,32000,2500
14347326,44936,SWAP45,34500,29,29000,5500
14333051,44929,SWAP45,39500,40,40000,-500
14362293,44942,SWAP45,44500,32,32000,12500
14388197,44952,SWAP45,44500,,44500,0
14388197,44952,SWAP45,44500,39,39000,5500
14373463,44946,SWAP45,26500,10,10000,16500
14402006,44958,SWAP45,44500,37,37000,7500
14416606,44964,SWAP45,10000,8,8000,2000
14450622,44977,SWAP45,30000,39,39000,-9000
14433090,44970,SWAP45,11000,9,9000,2000
14464033,44981,SWAP45,15000,13,13000,2000
14464033,44981,SWAP45,15000,,15000,0
14477517,44987,SWAP45,11000,9,9000,2000
14477517,44987,SWAP45,11000,,11000,0
14496514,44994,SWAP45,30000,18,18000,12000
14515767,45001,SWAP45,25000,,25000,0
14515767,45001,SWAP45,25000,17,17000,8000
14532974,45007,SWAP45,30000,,30000,0
14532974,45007,SWAP45,30000,28,28000,2000
14526853,45006,SWAP45,11000,22,22000,-11000
14526853,45006,SWAP45,11000,,11000,0
14509892,44999,SWAP45,30000,29,29000,1000
14509892,44999,SWAP45,30000,,30000,0
14486991,44991,SWAP45,30000,38,38000,-8000
14473215,44985,SWAP45,30000,15,15000,15000
14459954,44980,SWAP45,20000,9,9000,11000
14436067,44971,SWAP45,11000,10,10000,1000
14419019,44965,SWAP45,11000,9,9000,2000
14401894,44958,SWAP45,44500,27,27000,17500
14387934,44952,SWAP45,29500,20,20000,9500
14368514,44944,SWAP45,15500,9,9000,6500
14344536,44935,SWAP45,44500,36,36000,8500
14329855,44928,SWAP45,24500,,24500,0
14329855,44928,SWAP45,24500,14,14000,10500
14336282,44930,SWAP45,44500,40,40000,4500
14362215,44942,SWAP45,44500,9,9000,35500
14362215,44942,SWAP45,44500,25,25000,19500
14348354,44936,SWAP45,15500,8,8000,7500
14391520,44953,SWAP45,26500,20,20000,6500
14373464,44946,SWAP45,15500,10,10000,5500
14404812,44959,SWAP45,41000,39,39000,2000
14419708,44965,SWAP45,29000,20,20000,9000
14436069,44971,SWAP45,40000,39,39000,1000
14453666,44978,SWAP45,30000,29,29000,1000
14468754,44984,SWAP45,30000,19,19000,11000
14481566,44988,SWAP45,20000,17,17000,3000
14496516,44994,SWAP45,20000,19,19000,1000
14515769,45001,SWAP45,30000,28,28000,2000
14515769,45001,SWAP45,30000,,30000,0
14533421,45008,SWAP45,30000,,30000,0
14533421,45008,SWAP45,30000,9,9000,21000
14530989,45007,SWAP45,30000,,30000,0
14530989,45007,SWAP45,30000,,30000,0
14534613,45008,SWAP45,23500,,23500,0
14534613,45008,SWAP45,23500,27,27000,-3500
14512864,45000,SWAP45,40000,9,9000,31000
14487004,44991,SWAP45,40000,9,9000,31000
14456994,44979,SWAP45,22000,23,23000,-1000
14472421,44985,SWAP45,40000,32,32000,8000
14439189,44972,SWAP45,12000,8,8000,4000
14422165,44966,SWAP45,30000,23,23000,7000
14404579,44959,SWAP45,31500,20,20000,11500
14380321,44949,SWAP45,15500,8,8000,7500
14391531,44953,SWAP45,15500,8,8000,7500
14350010,44937,SWAP45,29500,17,17000,12500
14365650,44943,SWAP45,15500,9,9000,6500
14336284,44930,SWAP45,34500,18,18000,16500
14344395,44935,SWAP45,24500,18,18000,6500
14329856,44928,SWAP45,24500,18,18000,6500
14369954,44945,SWAP45,34500,27,27000,7500
14356582,44939,SWAP45,26500,20,20000,6500
14356582,44939,SWAP45,26500,,26500,0
14385868,44951,SWAP45,34500,28,28000,6500
14415421,44964,SWAP45,11000,8,8000,3000
14433086,44970,SWAP45,40000,9,9000,31000
14446500,44974,SWAP45,11000,10,10000,1000
14474639,44986,SWAP45,40000,39,39000,1000
14459962,44980,SWAP45,30000,27,27000,3000
14491137,44992,SWAP45,22000,8,8000,14000
14520534,45002,SWAP45,35000,,35000,0
14520534,45002,SWAP45,35000,,35000,0
14520534,45002,SWAP45,35000,40,40000,-5000
14506034,44998,SWAP45,11000,17,17000,-6000
14506034,44998,SWAP45,11000,,11000,0
14534386,45008,SWAP45,11000,,11000,0
14534388,45008,SWAP45,20000,,20000,0
14534388,45008,SWAP45,20000,20,20000,0
14530359,45007,SWAP45,20000,,20000,0
14530359,45007,SWAP45,20000,,20000,0
14512870,45000,SWAP45,30000,24,24000,6000
14496519,44994,SWAP45,12000,9,9000,3000
14496519,44994,SWAP45,12000,,12000,0
14481568,44988,SWAP45,15000,9,9000,6000
14468909,44984,SWAP45,40000,35,35000,5000
14454145,44978,SWAP45,11000,8,8000,3000
14436071,44971,SWAP45,30000,24,24000,6000
14419716,44965,SWAP45,30000,21,21000,9000
14404580,44959,SWAP45,31500,30,30000,1500
14395690,44956,SWAP45,44500,,44500,0
14395690,44956,SWAP45,44500,35,35000,9500
14380324,44949,SWAP45,24500,10,10000,14500
14364024,44943,SWAP45,34500,25,25000,9500
14329857,44928,SWAP45,29500,12,12000,17500
14347140,44936,SWAP45,29500,16,16000,13500
14336258,44930,SWAP45,15500,8,8000,7500
14365565,44943,SWAP45,34500,19,19000,15500
14350029,44937,SWAP45,24500,18,18000,6500
14380325,44949,SWAP45,34500,25,25000,9500
14391620,44953,SWAP45,34500,30,30000,4500
14404056,44958,SWAP45,11000,9,9000,2000
14422166,44966,SWAP45,20000,20,20000,0
14422166,44966,SWAP45,20000,,20000,0
14439190,44972,SWAP45,25000,,25000,0
14439190,44972,SWAP45,25000,34,34000,-9000
14472372,44985,SWAP45,11000,9,9000,2000
14456995,44979,SWAP45,30000,27,27000,3000
14487195,44991,SWAP45,33500,40,40000,-6500
14513935,45000,SWAP45,11000,,11000,0
14513935,45000,SWAP45,11000,8,8000,3000
14530353,45007,SWAP45,11000,,11000,0
14530353,45007,SWAP45,11000,,11000,0
14534324,45008,SWAP45,11000,9,9000,2000
14537437,45009,SWAP45,11000,,11000,0
14524285,45005,SWAP45,40000,36,36000,4000
14506038,44998,SWAP45,30000,20,20000,10000
14490366,44992,SWAP45,4500,,4500,0
14490366,44992,SWAP45,4500,8,8000,-3500
14459948,44980,SWAP45,40000,38,38000,2000
14474646,44986,SWAP45,20000,17,17000,3000
14435377,44971,SWAP45,11000,9,9000,2000
14446664,44974,SWAP45,20000,15,15000,5000
14419719,44965,SWAP45,19000,15,15000,4000
14404813,44959,SWAP45,31000,16,16000,15000
14396146,44956,SWAP45,44500,36,36000,8500
14383102,44950,SWAP45,39500,39,39000,500
14353796,44938,SWAP45,26500,19,19000,7500
14353796,44938,SWAP45,26500,,26500,0
14367362,44944,SWAP45,29500,17,17000,12500
14336260,44930,SWAP45,15500,9,9000,6500
14336262,44930,SWAP45,15500,9,9000,6500
14365657,44943,SWAP45,39500,35,35000,4500
14350022,44937,SWAP45,29500,22,22000,7500
14382342,44950,SWAP45,15500,8,8000,7500
14382342,44950,SWAP45,15500,,15500,0
14407511,44960,SWAP45,25000,,25000,0
14407511,44960,SWAP45,25000,25,25000,0
14422169,44966,SWAP45,30000,20,20000,10000
14454349,44978,SWAP45,11000,9,9000,2000
14439191,44972,SWAP45,40000,31,31000,9000
14468911,44984,SWAP45,40000,42,42000,-2000
14481569,44988,SWAP45,30000,30,30000,0
14496521,44994,SWAP45,11000,,11000,0
14496521,44994,SWAP45,11000,9,9000,2000
14512878,45000,SWAP45,40000,9,9000,31000
14529248,45006,SWAP45,30000,15,15000,15000
14525490,45006,SWAP45,30000,20,20000,10000
14510543,44999,SWAP45,30000,26,26000,4000
14510543,44999,SWAP45,30000,,30000,0
14487196,44991,SWAP45,20500,32,32000,-11500
14468913,44984,SWAP45,11000,9,9000,2000
14455397,44978,SWAP45,26000,19,19000,7000
14439233,44972,SWAP45,20000,,20000,0
14439233,44972,SWAP45,20000,18,18000,2000
14422170,44966,SWAP45,20000,14,14000,6000
14404816,44959,SWAP45,26000,20,20000,6000
14379225,44949,SWAP45,39500,,39500,0
14379225,44949,SWAP45,39500,33,33000,6500
14391623,44953,SWAP45,44500,,44500,0
14391623,44953,SWAP45,44500,9,9000,35500
14348360,44936,SWAP45,15500,17,17000,-1500
14362217,44942,SWAP45,15500,9,9000,6500
14332087,44929,SWAP45,34500,22,22000,12500
14332402,44929,SWAP45,15500,9,9000,6500
14332402,44929,SWAP45,15500,,15500,0
14367364,44944,SWAP45,34500,24,24000,10500
14350513,44937,SWAP45,15500,10,10000,5500
14396149,44956,SWAP45,24500,15,15000,9500
14382344,44950,SWAP45,15500,,15500,0
14382344,44950,SWAP45,15500,9,9000,6500
14404820,44959,SWAP45,21000,9,9000,12000
14419727,44965,SWAP45,40000,41,41000,-1000
14436072,44971,SWAP45,11000,10,10000,1000
14446665,44974,SWAP45,10000,10,10000,0
14463553,44981,SWAP45,12500,8,8000,4500
14477521,44987,SWAP45,11000,,11000,0
14496523,44994,SWAP45,30000,9,9000,21000
14512880,45000,SWAP45,40000,34,34000,6000
14529251,45006,SWAP45,20000,21,21000,-1000
14529252,45006,SWAP45,30000,22,22000,8000
14510546,44999,SWAP45,17000,14,14000,3000
14487199,44991,SWAP45,23500,,23500,0
14487199,44991,SWAP45,23500,31,31000,-7500
14471755,44985,SWAP45,25000,25,25000,0
14457321,44979,SWAP45,40000,35,35000,5000
14441683,44973,SWAP45,20000,17,17000,3000
14425856,44967,SWAP45,40000,28,28000,12000
14414582,44963,SWAP45,30000,27,27000,3000
14399757,44957,SWAP45,39500,40,40000,-500
14385123,44951,SWAP45,24500,38,38000,-13500
14371217,44945,SWAP45,34500,29,29000,5500
14357885,44939,SWAP45,15500,9,9000,6500
14357885,44939,SWAP45,15500,8,8000,7500
14329859,44928,SWAP45,34500,19,19000,15500
14344396,44935,SWAP45,15500,20,20000,-4500
