lcg,tcg,vcg,weight,tk_name,start_pos,end_pos
111.29,0,0.53,55.27,NO.1H.F.O.TK.,107.8,114.8
55.65,0,0.53,158.12,NO.2H.F.O.TK.,49,62.3
45.79,-0.01,0.54,74.58,NO.3H.F.O.TK.,42.7,49
37,0.24,0.65,78.84,NO.4H.F.O.TK.,32.2,40.6
26.03,-8.09,4.26,29.35,HFOSETTLINGTANK,23.8,28
25.9,-6.88,6.65,26.17,HFOSERVICETANK,23.8,28
18.36,0.99,0.46,6.12,M.D.O.TK.,15.4,21
24.92,6.23,3.29,22.10,MDOSETTLINGTANK,21.7,28
9.22,2.72,6.15,12.20,NO.1M.D.OSERVICETANK,7,11.2
5.01,2.73,6.67,8.80,NO.2M.D.OSERVICETANK,2.8,7
137.14,0,5.07,32.90,FRESHWATERTANK,135.8,138.6
18.23,-4.86,4.18,1.40,BLR.FEEDWATERTANK,17.5,18.9
19.28,6.24,4.34,12.45,TECHFRESHWATERTANK,17.5,21.7
27.42,-2.54,0.64,5.63,LUB.OILSETTLINGTANK,21.7,27.3
26.6,-1.02,0.79,6.30,M/EL.O.SUMP.TANK,21.7,31.5
12.28,-7.22,6.13,12.82,LUB.OILSTORETANK,11.2,13.3
18.35,-0.99,0.78,0,BILGETANK,15.4,21
16.11,5.02,5.23,0,M/EAIRCLR.CHEN.CLEAN.TK.,15.4,16.8
30.11,1.86,0.75,0,FUELOILOVERFLOWTANK,28,32.2
24.65,1.65,0.79,0,DIRTYLUB.OILTANK,21.7,31.5
10.18,0.00,0.79,0,S/TL.O.DRAINTANK,9.1,11.2
22.33,-7.23,4.29,0,PURIF.SLUDGETANK,20.3,23.8
13.10,-0.18,0.78,0,SLUDGETANK,11.2,15.4
76.30,0,3.37,0,NO.1ANTIROLLINGTANK,70.0,82.6
67.20,0,3.37,0,NO.2ANTIROLLINGTANK,64.4,70
57.36,-9.49,3.41,69.8,ANTIHEELINGTANK.P,49.7,64.4
57.36,9.49,3.41,69.8,ANTIHEELINGTANK.S,49.7,64.4
