position,lightship_weight_cumulative
-6,0
-5.25,2.1
-4.5,12.8
-3.75,24.3
-3,36.6
-2.25,99.1
-1.5,275.3
-0.75,344.5
0,419
0.75,498.8
1.5,576.5
2.25,627
3,676.1
3.75,739.3
4.5,830.1
5.25,921.2
6,982.8
6.75,1021.5
7.5,1063.1
8.25,1105.4
9,1147
9.75,1188.1
10.5,1230.2
11.25,1277.4
12,1327.1
12.75,1372.5
13.5,1417.8
14.25,1463.5
15,1509.2
15.75,1554.6
16.5,1599.4
17.25,1643.9
18,1688.2
18.75,1730.8
19.5,1774.2
20.25,1817.7
21,1861.2
21.75,1899.8
22.5,1938.6
23.25,1977.5
24,2016.6
24.75,2056.6
25.5,2098
26.25,2139.9
27,2182.2
27.75,2224.8
28.5,2267.8
29.25,2311
30,2354.5
30.75,2404.7
31.5,2462.7
32.25,2525.2
33,2590.5
33.75,2655
34.5,2715
35.25,2770.2
36,2820.5
36.75,2869.8
37.5,2919.1
38.25,2973.4
39,3031.6
39.75,3097
40.5,3167.6
41.25,3236.6
42,3306.3
42.75,3377
43.5,3471.2
44.25,3572.7
45,3678.4
45.75,3783.9
46.5,3890.1
47.25,3994.1
48,4088
48.75,4186.4
49.5,4288.6
50.25,4396.7
51,4507.7
51.75,4622.6
52.5,4734.9
53.25,4848.4
54,4964.9
54.75,5083.1
55.5,5200.1
56.25,5313.1
57,5427.3
57.75,5578.1
58.5,5748.6
59.25,5929.1
60,6109.6
60.75,6284.6
61.5,6457.6
62.25,6621.8
63,6767.6
63.75,6910.1
64.5,7052.9
65.25,7193.9
66,7327.9
66.75,7464
67.5,7573
68.25,7664.6
69,7753.6
69.75,7840.8
70.5,7923.6
71.25,8004.5
72,8085.7
72.75,8167.3
73.5,8249.8
74.25,8331.6
75,8408.3
75.75,8472.2
76.5,8534.5
77.25,8593.8
78,8653.1
78.75,8712.4
79.5,8772.5
80.25,8828.5
81,8883.2
81.75,8937.3
82.5,8991.2
83.25,9044.7
84,9098.1
84.75,9151.2
85.5,9203.7
86.25,9255.7
87,9307.4
87.75,9359
88.5,9410.3
89.25,9461.4
90,9512.3
90.75,9562.6
91.5,9612.7
92.25,9662.6
93,9712.2
93.75,9764.5
94.5,9818.2
95.25,9871.7
96,9924.9
96.75,9977.7
97.5,10030.3
98.25,10082.6
99,10134.6
99.75,10186.4
100.5,10235.6
101.25,10283.6
102,10331.3
102.75,10378.8
103.5,10426
104.25,10472.9
105,10519.5
105.75,10566
106.5,10612.1
107.25,10658.9
108,10708.3
108.75,10757.6
109.5,10808.5
110.25,10860.1
111,10911.5
111.75,10962.7
112.5,11013.2
113.25,11063.1
114,11112.9
114.75,11162.4
115.5,11211.6
116.25,11260.7
117,11309.5
117.75,11358.1
118.5,11406.5
119.25,11454.7
120,11502.7
120.75,11556.9
121.5,11608.9
122.25,11660.5
123,11711.7
123.75,11762.2
124.5,11812.3
125.25,11862.1
126,11911.6
126.75,11960.8
127.5,12009.7
128.25,12058.4
129,12106.7
129.75,12154.7
130.5,12202.4
131.25,12249.9
132,12297
132.75,12343.8
133.5,12390.3
134.25,12439.1
135,12487.7
135.75,12535.9
136.5,12584
137.25,12631.7
138,12679.3
138.75,12726.5
139.5,12773.6
140.25,12820.3
141,12866.9
141.75,12913.2
142.5,12959.2
143.25,13005
144,13050.5
144.75,13095.8
145.5,13140.8
146.25,13185.6
147,13230.1
147.75,13276
148.5,13328.2
149.25,13379.7
150,13430.7
150.75,13481.1
151.5,13530.8
152.25,13579.8
153,13628.3
153.75,13676.3
154.5,13723.7
155.25,13770.5
156,13816.8
156.75,13862.5
157.5,13907.6
158.25,13952.2
159,13996.2
159.75,14039.6
160.5,14082.5
161.25,14127.2
162,14172.6
162.75,14217.6
163.5,14262.4
164.25,14306.9
165,14351
165.75,14395
166.5,14438.6
167.25,14481.9
168,14524.9
168.75,14567.7
169.5,14610.2
170.25,14652.4
171,14694.3
171.75,14735.9
172.5,14777.2
173.25,14818.3
174,14859
174.75,14899.5
175.5,14945.1
176.25,14991.9
177,15038.2
177.75,15084
178.5,15129.2
179.25,15173.9
180,15218.1
180.75,15261.7
181.5,15304.8
182.25,15347.4
183,15389.4
183.75,15430.9
184.5,15471.9
185.25,15512.3
186,15552.2
186.75,15591.6
187.5,15630.5
188.25,15668.8
189,15708.5
189.75,15752.5
190.5,15795.5
191.25,15838
192,15880
192.75,15922.3
193.5,15964.2
194.25,16004.8
195,16045.2
195.75,16085
196.5,16124.3
197.25,16163
198,16201.3
198.75,16239.3
199.5,16276.9
200.25,16314
201,16350.5
201.75,16386.7
202.5,16422.5
203.25,16458.1
204,16493.3
204.75,16526.1
205.5,16558.8
206.25,16591.1
207,16624.4
207.75,16663.5
208.5,16702.4
209.25,16741
210,16779.3
210.75,16814.4
211.5,16849.2
212.25,16883.9
213,16918.3
213.75,16952.6
214.5,16980.6
215.25,17007.2
216,17037.2
216.75,17086.9
217.5,17135.4
218.25,17183.3
219,17230
219.75,17287.2
220.5,17367.7
221.25,17458
222,17521.9
222.75,17571.8
223.5,17620.3
224.25,17678.7
225,17728.1
225.75,17771.5
226.5,17813.3
227.25,17855.7
228,17899.5
228.75,17943.4
229.5,17986.1
230.25,18028.1
231,18070.1
231.75,18112.2
232,18126.2
