max_vol,start_pos,end_pos,lcg,tcg,min_vcg,max_vcg,tk_name
189.1,142.1,151.9,144.23,0,0.45,4.21,FP
43.6,135.8,138.6,137.13,0,0.03,2.18,WB01
215.2,128.8,135.8,131.58,-1.94,0.03,4.59,WB02.P
215.2,128.8,135.8,131.58,1.94,0.03,4.59,WB02.S
291.6,120.4,128.1,124.25,0,2.13,5.05,WB03
152.3,118.3,128.8,122.77,0,0.03,1.16,WB04
251.6,97.3,107.8,102.2,0,0.02,1.06,WB05
254.8,81.9,93.1,87.85,0,0.03,1.05,WB06
145.6,70,80.5,75.25,0,0.03,0.60,WB07
58.2,65.8,70,67.9,0,0.03,0.60,WB08
145.8,40.6,49,43,-7.99,0.10,3.28,WB09.P
148.6,40.6,49,42,7.84,0.20,3.24,WB09.S
75.4,34.3,39.2,40.13,8.54,0.69,3.85,WB10.S
122.4,13.3,34.3,32,9.45,2.90,6.00,WB11.S
176.5,2.8,32.2,17.87,9.73,8.02,10.90,WB12.S
175.3,0.7,28,14.35,-9.73,8.02,10.90,WB12.P
62.3,2.8,11.2,10.4,7.19,5.60,6.94,WB13.S
78.4,2.8,11.2,10.24,-7.21,5.70,7.12,WB13.P
38.7,2.8,9.1,7.95,-0.33,0.15,3.14,WB14
61.1,-4.9,2.8,0.5,5.98,6.70,7.45,WB15.S
66.8,-4.9,2.8,0.48,-5.75,6.70,7.44,WB15.P
