displacement,cumulative_buoyancy
8000,0
8000,0
8000,0
8000,0
8000,0
8000,0
8000,2.5
8000,5.8
8000,9.2
8000,12.5
8000,15.7
8000,18.1
8000,19.4
8000,20.3
8000,21.1
8000,22.6
8000,24.6
8000,27.1
8000,30.2
8000,33.8
8000,37.9
8000,42.5
8000,47.4
8000,53
8000,58.6
8000,64.3
8000,71.2
8000,79.5
8000,88.4
8000,98
8000,108.6
8000,120.1
8000,132.6
8000,146.2
8000,160.7
8000,176.2
8000,192.8
8000,210.5
8000,229.5
8000,250
8000,271.9
8000,295.3
8000,320
8000,346.2
8000,373.8
8000,402.7
8000,432.9
8000,464.4
8000,497.1
8000,531.1
8000,566.5
8000,603
8000,640.9
8000,679.7
8000,719.6
8000,760.5
8000,802.5
8000,837.3
8000,873.2
8000,918.3
8000,964.2
8000,1010.9
8000,1058.4
8000,1106.7
8000,1155.8
8000,1197.3
8000,1239.7
8000,1282.7
8000,1334.7
8000,1387.2
8000,1440.3
8000,1494
8000,1548.3
8000,1603.1
8000,1658.5
8000,1714.4
8000,1770.6
8000,1827.2
8000,1884.2
8000,1941.6
8000,1999.4
8000,2057.6
8000,2116
8000,2174.7
8000,2233.4
8000,2292.3
8000,2351.2
8000,2410.3
8000,2469.6
8000,2528.9
8000,2588.4
8000,2648
8000,2707.7
8000,2767.5
8000,2827.3
8000,2887.1
8000,2946.9
8000,3006.7
8000,3066.5
8000,3126.3
8000,3186.1
8000,3245.9
8000,3305.7
8000,3365.5
8000,3425.3
8000,3485.2
8000,3545
8000,3604.8
8000,3664.6
8000,3724.4
8000,3784.2
8000,3844.1
8000,3903.9
8000,3963.7
8000,4023.5
8000,4083.3
8000,4143
8000,4202.8
8000,4262.4
8000,4322.1
8000,4381.7
8000,4441.2
8000,4500.7
8000,4560.2
8000,4619.7
8000,4679
8000,4738.2
8000,4797.2
8000,4855.9
8000,4914.5
8000,4972.9
8000,5031.1
8000,5089.1
8000,5147
8000,5204.6
8000,5262
8000,5319.1
8000,5375.9
8000,5432.2
8000,5488.2
8000,5543.7
8000,5598.9
8000,5653.7
8000,5708.2
8000,5762.2
8000,5815.8
8000,5869.1
8000,5921.9
8000,5974.1
8000,6025.9
8000,6077.2
8000,6127.9
8000,6178
8000,6227.6
8000,6276.7
8000,6325.2
8000,6373
8000,6420.3
8000,6466.9
8000,6512.9
8000,6558.3
8000,6603.1
8000,6647.2
8000,6690.7
8000,6733.5
8000,6775.6
8000,6817
8000,6857.7
8000,6897.7
8000,6937.1
8000,6975.7
8000,7013.6
8000,7050.7
8000,7087
8000,7122.5
8000,7157.3
8000,7191.3
8000,7224.6
8000,7257.1
8000,7288.7
8000,7319.6
8000,7349.6
8000,7378.9
8000,7407.3
8000,7435
8000,7461.8
8000,7487.9
8000,7513.1
8000,7537.5
8000,7561.2
8000,7584
8000,7606
8000,7627.2
8000,7647.6
8000,7667.4
8000,7686.4
8000,7704.6
8000,7722.2
8000,7739
8000,7755.1
8000,7770.4
8000,7785.1
8000,7799.2
8000,7812.7
8000,7825.7
8000,7838.1
8000,7850
8000,7861.4
8000,7869.7
8000,7874.1
8000,7878
8000,7885.1
8000,7894.4
8000,7903.3
8000,7912
8000,7920.3
8000,7928.4
8000,7936.1
8000,7943.5
8000,7952
8000,7959.9
8000,7967.2
8000,7974.2
8000,7980.5
8000,7986.4
8000,7991.6
8000,7994.8
8000,7997.2
8000,7998.9
8000,7999.8
8000,8000
8000,8000
8000,8000
8000,8000
8000,8000
8000,8000
8000,8000
8000,8000
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,3
10000,7
10000,11
10000,15
10000,18.9
10000,21.8
10000,23.3
10000,24.3
10000,25.1
10000,26.6
10000,28.6
10000,31.2
10000,34.2
10000,37.9
10000,42.2
10000,47.2
10000,52.9
10000,59.5
10000,65.8
10000,72.4
10000,81.2
10000,92.4
10000,104.9
10000,118.7
10000,134.1
10000,151.3
10000,170.3
10000,191.2
10000,213.9
10000,238.3
10000,264.7
10000,292.7
10000,322.5
10000,353.9
10000,386.9
10000,421.6
10000,458
10000,496
10000,535.6
10000,576.7
10000,619.1
10000,662.8
10000,707.9
10000,754.3
10000,802.1
10000,851.2
10000,901.5
10000,952.9
10000,1005.3
10000,1058.8
10000,1113.4
10000,1159.4
10000,1206.5
10000,1264.2
10000,1322.8
10000,1382.1
10000,1442.3
10000,1503.2
10000,1564.9
10000,1619.1
10000,1674
10000,1729.7
10000,1794.3
10000,1859.5
10000,1925.3
10000,1991.6
10000,2058.5
10000,2126
10000,2194
10000,2262.5
10000,2331.3
10000,2400.6
10000,2470.2
10000,2540.3
10000,2610.7
10000,2681.5
10000,2752.6
10000,2823.8
10000,2895.2
10000,2966.7
10000,3038.3
10000,3110.1
10000,3181.9
10000,3253.9
10000,3326
10000,3398.2
10000,3470.6
10000,3543
10000,3615.4
10000,3687.9
10000,3760.3
10000,3832.7
10000,3905.1
10000,3977.6
10000,4050
10000,4122.4
10000,4194.9
10000,4267.3
10000,4339.8
10000,4412.2
10000,4484.6
10000,4557.1
10000,4629.5
10000,4702
10000,4774.4
10000,4846.9
10000,4919.3
10000,4991.7
10000,5064.2
10000,5136.6
10000,5208.9
10000,5281.3
10000,5353.6
10000,5425.8
10000,5498
10000,5570.2
10000,5642.4
10000,5714.5
10000,5786.6
10000,5858.5
10000,5930.3
10000,6001.9
10000,6073.3
10000,6144.5
10000,6215.5
10000,6286.3
10000,6357
10000,6427.4
10000,6497.7
10000,6567.7
10000,6637.4
10000,6706.7
10000,6775.7
10000,6844.2
10000,6912.3
10000,6980
10000,7047.3
10000,7114.2
10000,7180.7
10000,7246.8
10000,7312.5
10000,7377.6
10000,7442.2
10000,7506.3
10000,7569.8
10000,7632.7
10000,7694.9
10000,7756.6
10000,7817.6
10000,7877.9
10000,7937.5
10000,7996.5
10000,8054.7
10000,8112.1
10000,8168.9
10000,8224.9
10000,8280.2
10000,8334.8
10000,8388.4
10000,8441.3
10000,8493.3
10000,8544.5
10000,8594.9
10000,8644.5
10000,8693.2
10000,8741
10000,8787.8
10000,8833.7
10000,8878.6
10000,8922.6
10000,8965.7
10000,9007.8
10000,9048.9
10000,9089
10000,9128.2
10000,9166.3
10000,9203.5
10000,9239.6
10000,9274.8
10000,9308.9
10000,9342.1
10000,9374.2
10000,9405.3
10000,9435.3
10000,9464.4
10000,9492.4
10000,9519.4
10000,9545.5
10000,9570.6
10000,9594.7
10000,9618
10000,9640.2
10000,9661.6
10000,9681.9
10000,9701.4
10000,9720
10000,9737.8
10000,9754.8
10000,9771.1
10000,9786.7
10000,9801.6
10000,9815.9
10000,9826.9
10000,9833.8
10000,9840.2
10000,9849.6
10000,9861.2
10000,9872.4
10000,9883.1
10000,9893.5
10000,9903.6
10000,9913.3
10000,9922.8
10000,9933.3
10000,9943.3
10000,9952.7
10000,9961.7
10000,9970.1
10000,9978
10000,9985.3
10000,9990.3
10000,9994.3
10000,9997.4
10000,9999.5
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
12000,0
12000,0
12000,0
12000,0
12000,0
12000,0
12000,3.6
12000,8.2
12000,12.9
12000,17.5
12000,22.1
12000,25.5
12000,27.2
12000,28.4
12000,29.2
12000,30.7
12000,32.7
12000,35.2
12000,38.4
12000,42.4
12000,47.5
12000,53.8
12000,61.5
12000,71.2
12000,81.9
