position,lightship_weight_cumulative
-6.3,0
-5.6,37.6
-4.9,76.7
-4.2,128.4
-3.5,145
-2.8,162.7
-2.1,181
-1.4,203.1
-0.7,229.5
0,247.1
0.7,274.6
1.4,306.4
2.1,342.8
2.8,370.5
3.5,385
4.2,400.6
4.9,420
5.6,441.6
6.3,464.7
7,490.1
7.7,514.5
8.4,540.2
9.1,559.5
9.8,582.1
10.5,607.3
11.2,628.9
11.9,650.8
12.6,672.4
13.3,694.7
14,718.3
14.7,742.7
15.4,768
16.1,794.2
16.8,821.4
17.5,849.3
18.2,872.5
18.9,893.6
19.6,923.2
20.3,963.5
21,984.4
21.7,1006.3
22.4,1026.7
23.1,1049.5
23.8,1077
24.5,1107
25.2,1145.7
25.9,1193.2
26.6,1245.5
27.3,1305.8
28,1374
28.7,1450.2
29.4,1534.4
30.1,1581.8
30.8,1633.1
31.5,1687.4
32.2,1744.7
32.9,1805.3
33.6,1869
34.3,1884.1
35,1898.5
35.7,1914
36.4,1930.3
37.1,1947.7
37.8,1966.1
38.5,1985.2
39.2,2005.4
39.9,2021.8
40.6,2038.7
41.3,2056.2
42,2074.5
42.7,2094.2
43.4,2114.9
44.1,2136.6
44.8,2159.3
45.5,2183
46.2,2203.5
46.9,2224.9
47.6,2241
48.3,2258.1
49,2276.3
49.7,2295.5
50.4,2315.8
51.1,2337.1
51.8,2359.5
52.5,2382.9
53.2,2407.4
53.9,2432.9
54.6,2459.2
55.3,2478.5
56,2499
56.7,2520.6
57.4,2543.4
58.1,2562.3
58.8,2582.4
59.5,2603.6
60.2,2625.9
60.9,2649.3
61.6,2673.7
62.3,2699.3
63,2718.2
63.7,2738.1
64.4,2759.1
65.1,2781.1
65.8,2804.4
66.5,2828.7
67.2,2854.1
67.9,2880.5
68.6,2908
69.3,2936.5
70,2964
70.7,2985.1
71.4,3006.6
72.1,3028.6
72.8,3051.4
73.5,3074.6
74.2,3098.3
74.9,3122.5
75.6,3147.1
76.3,3172.2
77,3197.8
77.7,3223.8
78.4,3248.1
79.1,3272.7
79.8,3297.5
80.5,3322.7
81.2,3348.2
81.9,3372.3
82.6,3396.5
83.3,3420.7
84,3445
84.7,3469.3
85.4,3493.7
86.1,3514.9
86.8,3536.3
87.5,3557.9
88.2,3579.7
88.9,3601.6
89.6,3623.7
90.3,3645.6
91,3670.1
91.7,3692.8
92.4,3715.7
93.1,3738.8
93.8,3758.2
94.5,3777.8
95.2,3797.6
95.9,3817.6
96.6,3837.8
97.3,3858.2
98,3878.8
98.7,3899.6
99.4,3920.6
100.1,3941.8
100.8,3963.2
101.5,3981.6
102.2,4000.2
102.9,4019
103.6,4038.1
104.3,4057.4
105,4076.9
105.7,4096.7
106.4,4116.8
107.1,4137.3
107.8,4160.2
108.5,4195.3
109.2,4213.7
109.9,4232.4
110.6,4251.3
111.3,4270.5
112,4289.9
112.7,4309.5
113.4,4329.4
114.1,4349.5
114.8,4369.9
115.5,4390.7
116.2,4412.5
116.9,4431.6
117.6,4451
118.3,4472
119,4494.7
119.7,4517.5
120.4,4541.6
121.1,4564.6
121.8,4588.6
122.5,4613.6
123.2,4634
123.9,4654.4
124.6,4673.2
125.3,4692
126,4710.7
126.7,4746
127.4,4782.2
128.1,4816.1
128.8,4849.7
129.5,4883
130.2,4916.2
130.9,4949.3
131.6,4982.3
132.3,5015.2
133,5048.9
133.7,5082.6
134.4,5116.2
135.1,5155.3
135.8,5193.6
136.5,5232.1
137.2,5269.2
137.9,5306.1
138.6,5346.2
139.3,5382.2
140,5417.1
140.7,5451.3
141.4,5486.2
142.1,5502.7
142.8,5518.7
143.5,5533.4
144.2,5551.7
144.9,5573.7
145.6,5599.3
146.3,5628.5
147,5661.3
147.7,5674.1
148.4,5686.5
149.1,5698.4
149.8,5709.9
150.5,5720.1
151.2,5729.8
151.9,5739
152.6,5747.6
153.3,5755.7
154,5762.8
154.7,5766.4
155.4,5769.9
156.1,5772.2
156.8,5772.5
157.5,5772.5
158.2,5772.5
158.9,5772.5
159.6,5772.5
