displacement,lcf,kmt,draft,gm,kg,lcb
8008.343,73.029,10.667,4.1,0.6812,10.0002 ,74.204
8054.244,73.001,10.645,4.12,0.66244,9.99884,74.197
8100.19,72.972,10.624,4.14,0.64368,9.99748,74.190
8146.189,72.942,10.602,4.16,0.62492,9.99612,74.183
8192.228,72.912,10.581,4.18,0.60616,9.99476,74.176
8238.321,72.884,10.56,4.2,0.5874,9.9934,74.169
8284.462,72.855,10.54,4.22,0.56864,9.99204,74.162
8330.65,72.825,10.519,4.24,0.54988,9.99068,74.155
8376.888,72.796,10.499,4.26,0.38088,10.06852,74.147
8423.17,72.765,10.479,4.28,0.37464,10.06056,74.140
8469.498,72.733,10.46,4.3,0.3684,10.0526,74.132
8515.885,72.702,10.441,4.32,0.36216,10.04464,74.124
8562.312,72.671,10.422,4.34,0.35592,10.03668,74.117
8608.791,72.639,10.403,4.36,0.34968,10.02872,74.109
8655.313,72.607,10.385,4.38,0.34344,10.02076,74.101
8701.895,72.575,10.367,4.4,0.3372,10.0128,74.093
8748.518,72.541,10.349,4.42,0.33096,10.00484,74.084
8795.192,72.508,10.331,4.44,0.32472,9.99688,74.076
8841.914,72.475,10.313,4.46,0.31848,9.98892,74.068
8888.684,72.442,10.296,4.48,0.31224,9.98096,74.059
8935.506,72.408,10.279,4.5,0.306,9.973,74.051
8982.371,72.375,10.262,4.52,0.29976,9.96504,74.042
9029.288,72.341,10.246,4.54,0.29352,9.95708,74.033
9076.256,72.304,10.229,4.56,0.28728,9.94912,74.024
9123.271,72.267,10.213,4.58,0.28104,9.94116,74.016
9170.337,72.23,10.197,4.6,0.2748,9.9332,74.006
9217.453,72.193,10.182,4.62,0.26856,9.92524,73.997
9264.62,72.156,10.166,4.64,0.26232,9.91728,73.988
9311.838,72.119,10.151,4.66,0.25608,9.90932,73.979
9359.109,72.082,10.136,4.68,0.24984,9.90136,73.969
9406.432,72.043,10.121,4.7,0.2436,9.8934,73.960
9453.798,71.994,10.106,4.72,0.23736,9.88544,73.950
9501.234,71.944,10.092,4.74,0.23112,9.87748,73.940
9548.728,71.895,10.078,4.76,0.15,9.89256,73.930
9596.278,71.861,10.064,4.78,0.15,9.88268,73.920
9643.869,71.826,10.05,4.8,0.15,9.8728,73.909
9691.519,71.792,10.036,4.82,0.15,9.86292,73.899
9739.202,71.755,10.023,4.84,0.15,9.85304,73.889
9786.943,71.718,10.01,4.86,0.15,9.84316,73.878
9834.725,71.683,9.996,4.88,0.15,9.83328,73.868
9882.564,71.648,9.983,4.9,0.15,9.8234,73.857
9930.446,71.612,9.971,4.92,0.15,9.81352,73.846
9978.374,71.574,9.958,4.94,0.15,9.80364,73.835
10026.35,71.538,9.946,4.96,0.15,9.79376,73.825
10074.38,71.501,9.934,4.98,0.15,9.78388,73.813
10122.45,71.414,9.924,5,0.15,9.774,73.802
10170.63,71.376,9.912,5.02,0.15,9.76412,73.791
10218.86,71.338,9.901,5.04,0.15,9.75424,73.780
10267.14,71.3,9.889,5.06,0.15,9.74436,73.768
10315.47,71.262,9.878,5.08,0.15,9.73448,73.756
10363.84,71.224,9.867,5.1,0.15,9.7246,73.745
10412.26,71.185,9.855,5.12,0.15,9.71472,73.733
10460.74,71.144,9.844,5.14,0.15,9.70484,73.721
10509.26,71.102,9.834,5.16,0.15,9.69496,73.709
10557.83,71.063,9.823,5.18,0.15,9.68508,73.697
10606.45,71.022,9.813,5.2,0.15,9.6752,73.685
10655.11,70.982,9.802,5.22,0.15,9.66532,73.672
