max_vol,start_pos,end_pos,lcg,tcg,min_vcg,max_vcg,tk_name
1721.37,216,231.75,216.07,0.00,5.53,12.82,FPT
208.24,164.25,177.75,170.45,3.43,0.00,1.33,1WBS
133.30,164.25,177.75,169.06,-4.7,0.00,1.40,1WBP
458.41,150.75,164.25,158.41,11.08,2.40,6.28,1WWBS
473.24,150.75,164.25,158.89,-11.01,2.40,6.34,1WWBP
282.05,150.75,164.25,157.02,4.57,0.00,1.30,2WBS
207.12,150.75,164.25,156.62,-5.8,0.00,1.34,2WBP
281.01,137.25,150.75,144.00,4.43,0.00,1.20,3WBS
204.81,137.25,150.75,143.46,-5.09,0.00,1.21,3WBP
262.27,123.75,137.25,130.90,4.61,0.00,1.20,4WBS
206.07,123.75,137.25,130.50,-5.61,0.00,1.20,4WBP
262.27,110.25,123.75,117.40,4.61,0.00,1.20,5WBS
206.07,110.25,123.75,117.00,-5.61,0.00,1.20,5WBP
412.14,96.75,110.25,103.50,6.49,0.00,1.20,6WBS
337.21,96.75,110.25,103.50,-7.67,0.00,1.20,6WBP
208.01,87.75,96.75,92.25,14.74,2.40,5.75,2WWBS
208.01,87.75,96.75,92.25,-14.74,2.40,5.75,2WWBP
281.01,83.25,96.75,90.00,4.43,0.00,1.20,7WBS
206.07,83.25,96.75,90.00,-5.61,0.00,1.20,7WBP
276.01,69.75,83.25,76.50,4.43,0.00,1.18,8WBS
202.41,69.75,83.25,76.50,-5.61,0.00,1.18,8WBP
888.73,11.25,24.75,19.34,0.00,0.00,6.10,9WBC
455.65,11.25,24.75,24.68,11.29,4.00,7.93,9WBS
455.65,11.25,24.75,24.68,-11.29,4.00,7.93,9WBP
269.29,-3,11.25,11.24,11.81,6.81,8.85,APTS
269.29,-3,11.25,11.24,-11.81,6.81,8.85,APTP
