displacement,cumulative_buoyancy
20060,0
20060,0
20060,0
20060,0
20060,0
20060,0
20060,0
20060,0
20060,0
20060,2.9
20060,5.8
20060,8.6
20060,11.5
20060,14.4
20060,17.3
20060,20.1
20060,23
20060,25.9
20060,28.8
20060,31.7
20060,34.8
20060,38.3
20060,42.2
20060,46.8
20060,52.2
20060,58.3
20060,65.3
20060,73.1
20060,81.7
20060,91.3
20060,101.7
20060,113
20060,125.3
20060,138.6
20060,153
20060,153
20060,168.7
20060,185.7
20060,204.3
20060,224.6
20060,246.6
20060,268
20060,291.5
20060,317.3
20060,345.3
20060,375.5
20060,408.2
20060,443.7
20060,482
20060,523.1
20060,567
20060,613.7
20060,663.2
20060,715.5
20060,770.5
20060,828.3
20060,888.7
20060,951.1
20060,1015.4
20060,1081.6
20060,1149.8
20060,1219.9
20060,1291.9
20060,1365.9
20060,1441.8
20060,1519.6
20060,1599.3
20060,1681
20060,1764.5
20060,1850.1
20060,1937.5
20060,2026.8
20060,2117.4
20060,2208.5
20060,2300.4
20060,2392.9
20060,2486.1
20060,2580
20060,2674.6
20060,2769.9
20060,2865.8
20060,2962.4
20060,3059.7
20060,3157.6
20060,3256.3
20060,3355.6
20060,3455.6
20060,3556.3
20060,3657.6
20060,3759.7
20060,3862.4
20060,3965.8
20060,4069.8
20060,4174.6
20060,4280
20060,4386.1
20060,4492.9
20060,4600.4
20060,4708.5
20060,4817.3
20060,4926.8
20060,5037
20060,5147.8
20060,5258.9
20060,5370
20060,5481.1
20060,5592.3
20060,5703.5
20060,5814.6
20060,5925.9
20060,6037.1
20060,6148.4
20060,6259.7
20060,6371
20060,6482.3
20060,6593.7
20060,6705.1
20060,6816.5
20060,6928
20060,7039.4
20060,7150.9
20060,7262.4
20060,7374
20060,7485.5
20060,7597.1
20060,7708.7
20060,7820.4
20060,7932
20060,8043.7
20060,8155.4
20060,8267.1
20060,8378.9
20060,8490.7
20060,8602.5
20060,8714.2
20060,8825.8
20060,8937.3
20060,9048.7
20060,9160
20060,9271.2
20060,9382.2
20060,9493.2
20060,9604
20060,9714.7
20060,9825.3
20060,9935.8
20060,10046.2
20060,10156.5
20060,10266.6
20060,10376.7
20060,10486.6
20060,10596.4
20060,10706.1
20060,10815.7
20060,10925.2
20060,11034.6
20060,11143.9
20060,11253
20060,11362.1
20060,11471
20060,11579.8
20060,11688.5
20060,11797.1
20060,11905.6
20060,12013.9
20060,12121.8
20060,12229.1
20060,12335.9
20060,12442.1
20060,12547.8
20060,12652.9
20060,12757.4
20060,12861.4
20060,12964.9
20060,13067.8
20060,13170.1
20060,13271.9
20060,13373.1
20060,13473.8
20060,13573.9
20060,13673.4
20060,13772.4
20060,13870.9
20060,13968.8
20060,14066.1
20060,14162.9
20060,14259.1
20060,14354.8
20060,14449.9
20060,14544.4
20060,14638.4
20060,14731.9
20060,14824.8
20060,14917.1
20060,15008.9
20060,15100.1
20060,15190.5
20060,15280
20060,15368.7
20060,15456.5
20060,15543.5
20060,15629.6
20060,15714.9
20060,15799.3
20060,15882.8
20060,15965.5
20060,16047.4
20060,16128.4
20060,16208.5
20060,16287.8
20060,16366.2
20060,16443.7
20060,16520.4
20060,16596.3
20060,16671.3
20060,16745.4
20060,16818.7
20060,16891.1
20060,16962.7
20060,17033.4
20060,17103.3
20060,17172.3
20060,17240.4
20060,17307.7
20060,17374.1
20060,17439.7
20060,17504.4
20060,17568.3
20060,17631.2
20060,17693.3
20060,17754.5
20060,17814.9
20060,17874.3
20060,17932.9
20060,17990.6
20060,18047.4
20060,18103.4
20060,18158.4
20060,18212.6
20060,18265.9
20060,18318.4
20060,18369.9
20060,18420.6
20060,18470.4
20060,18519.3
20060,18567.4
20060,18614.6
20060,18660.8
20060,18706.3
20060,18750.8
20060,18794.4
20060,18837.2
20060,18879.1
20060,18920.2
20060,18960.3
20060,18999.6
20060,19038
20060,19075.5
20060,19112.2
20060,19148.1
20060,19183.3
20060,19217.6
20060,19251.1
20060,19283.9
20060,19315.8
20060,19347
20060,19377.3
20060,19406.9
20060,19435.7
20060,19463.6
20060,19490.8
20060,19517.2
20060,19542.8
20060,19567.7
20060,19591.9
20060,19615.4
20060,19638.2
20060,19660.4
20060,19681.9
20060,19702.7
20060,19722.9
20060,19742.3
20060,19761.2
20060,19779.3
20060,19796.7
20060,19813.5
20060,19823.1
20060,19831.5
20060,19839.7
20060,19853.9
20060,19867.6
