lcg,tcg,vcg,weight,tk_name,start_pos,end_pos
71.98,-2.95,3.83,64.17,HFOSettlingTankNo2,69.75,74.25
71.98,-6.20,3.83,24.06,HFOServiceTankNo2,69.75,74.25
71.98,-7.97,3.83,24.06,HFOServiceTankNo1,69.75,74.25
71.98,-11.21,3.83,64.17,HFOSettlingTankNo1,69.75,74.25
31.95,11.02,6.02,214.18,HFOStorageTankNo1SB,24.75,38.25
31.95,-11.02,6.02,214.18,HFOStorageTankNo1PS,24.75,38.25
31.65,3.64,3.92,220.31,HFOStorageTankNo2SB,24.75,38.25
30.01,-3.12,4.26,202.46,HFOStorageTankNo2PS,24.75,38.25
71.98,7.97,3.83,21.39,MGOServiceTankNo2,69.75,74.25
71.98,6.20,3.83,21.39,MGOServiceTankNo1,69.75,74.25
71.98,11.21,3.83,57.04,MGOSettlingTank,69.75,74.25
85.50,14.74,4.08,52.00,FreshWater1SB,83.25,87.75
85.50,-14.74,4.08,52.00,FreshWater1PS,83.25,87.75
57.02,4.13,0.52,26.80,TechFreshWaterTank,54.75,59.25
63.41,9.97,0.79,10.20,No2MELOSumpTank,58.50,68.25
63.41,-9.97,0.79,10.20,No1MELOSumpTank,58.50,68.25
57.75,-4.72,0.52,13.05,STLOStorageTank,54.75,60.75
36.20,-5.82,3.32,13.40,No1MECylOilTank,34.50,38.25
36.15,-3.44,3.09,14.87,No2MECylOilTank,33.75,38.25
36.00,-3.54,6.38,25.43,MESysOilStorageTank,33.75,38.25
36.00,-0.88,6.39,12.72,DGLOTank,33.75,38.25
63.30,2.36,2.13,0.00,BlackWaterHolding,60.75,66.75
56.33,2.36,2.11,0.00,GreyWaterHolding,54.75,58.50
71.98,-14.16,4.96,0.00,No1SludgeSettTank,69.75,74.25
65.25,4.13,0.10,0.00,FOOverflowTank,60.75,69.75
63.75,-4.72,0.54,0.00,BilgeTank,60.75,66.75
61.50,-1.18,0.23,0.00,No2SludgeTank,56.25,66.75
60.00,-4.72,0.00,0.00,STLODrainTank,56.25,66.75
44.75,1.94,0.06,0.00,ZDScrubberTankSB,38.25,49.50
44.75,-1.94,0.06,0.00,ZDScrubberTankPS,38.25,49.50
41.85,12.65,3.41,0.00,ScrubberSludgeTank,38.25,45.00
36.00,-6.20,5.59,0.00,MESysOilRenoTank,33.75,38.25
5.60,-14.96,10.77,0.00,AlkalineTank,5.00,6.20
222.72,0.00,24.38,0.00,FlumeTank1,220.50,225.00
218.25,0.00,24.38,0.00,FlumeTank2,216.75,220.50
130.12,14.45,4.41,139.07,HeelingWater1SB,123.75,137.25
130.12,-14.45,4.41,139.07,HeelingWater1PS,123.75,137.25
116.91,14.69,4.41,153.51,HeelingWater2SB,110.25,123.75
116.91,-14.69,4.41,153.51,HeelingWater2PS,110.25,123.75
