position,bending_max,bending_min,shear_max,shear_min
0,39.25,-10.19,1223,0
7.500,39.25,-10.19,2141,0
15.000,39.25,-10.19,3058,0
22.500,64.73,-10.19,3517,0
30.000,90.21,-10.19,3625,0
37.500,111.37,15.29,3751,0
45.000,132.52,40.77,3677,0
52.500,152.91,58.61,3677,0
60.000,173.29,76.45,3677,0
67.500,198.78,94.29,3677,0
75.000,224.26,112.13,3677,0
82.500,247.71,122.32,3047,0
90.000,271.15,132.52,2417,0
97.500,271.15,132.52,1942,0
105.000,271.15,132.52,1467,-504
112.500,271.15,132.52,991,-1032
120.000,271.15,132.52,516,-1561
127.500,253.82,127.42,0,-2089
135.000,236.49,122.32,0,-2617
142.500,220.18,107.03,0,-3146
150.000,203.87,91.74,0,-3674
157.500,183.49,76.45,0,-3674
165.000,163.10,61.16,0,-3674
172.500,142.71,40.77,0,-3674
180.000,122.32,20.39,0,-3674
187.500,101.94,5.10,0,-3309
195.000,81.55,-10.19,0,-2944
202.500,61.16,-10.19,0,-2749
210.000,40.77,-10.19,0,-2351
217.500,40.77,-10.19,0,-1834
225.000,40.77,-10.19,0,-1019
